precinct_2020,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073
62,181981,178420,100902,1894,537,63153,156,11778,3561,3431,296,128,1261,67,1123,20,80,6,66,94,1,58,36,155,40,112,41,9,2,6,6,0,7,11,15,4,1,2,0,1,3,0,3,0,1,0,13,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,3,0,1,0,0,0,1,1,181981,24239,157742,155581,90741,1362,145,62901,47,385,2161,2093,201,83,1206,58,228,13,74,6,15,88,1,0,35,81,4,55,12,7,2,1,4,0,0,11,10,1,0,1,0,1,3,0,2,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,1
63,108646,106194,49114,48543,326,5091,24,3096,2452,2277,488,72,375,11,256,97,271,92,404,36,5,26,15,104,25,159,41,57,2,16,4,0,6,0,3,0,6,0,2,1,14,7,0,0,0,0,15,5,1,5,1,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,108646,9247,99399,97652,45309,46606,198,5045,22,472,1747,1619,362,59,336,11,52,88,258,90,225,33,2,2,12,86,3,123,29,49,1,11,4,0,0,0,3,0,5,0,2,1,13,5,0,0,0,0,5,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,191382,187193,134948,5312,709,34011,48,12165,4189,3886,472,144,903,61,1223,55,204,23,196,186,0,82,30,243,64,276,150,23,1,17,11,1,6,3,18,8,4,0,1,6,17,1,0,2,5,2,21,12,1,1,6,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,5,5,191382,24854,166528,164193,125152,4338,179,33856,22,646,2335,2246,288,72,875,43,206,43,189,23,79,183,0,14,29,192,10,82,13,21,1,0,10,0,0,1,11,0,4,0,1,4,15,0,0,1,0,0,6,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
67,155252,151852,3902,142116,519,1777,59,3479,3400,3087,496,11,72,1,127,373,454,277,1109,24,2,34,3,74,30,277,102,53,5,31,0,0,2,3,2,0,19,1,8,17,18,15,0,1,0,0,29,20,0,3,0,5,0,1,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,1,1,155252,10536,144716,142238,2204,137243,405,1734,52,600,2478,2243,380,5,70,1,10,336,414,266,665,18,2,9,2,46,19,211,79,38,3,18,0,0,1,3,2,0,19,1,7,16,13,11,0,0,0,0,17,14,0,0,0,2,0,1,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,1,1
68,124491,121140,85271,2288,329,25884,39,7329,3351,3196,527,168,1170,60,761,33,79,7,105,35,0,38,20,183,10,135,59,21,2,14,6,2,9,7,11,0,0,1,1,0,1,0,1,0,0,0,19,8,0,5,0,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,124491,17868,106623,104486,76537,1757,97,25743,23,329,2137,2071,347,109,1110,57,118,27,73,4,36,35,0,1,19,133,2,59,18,15,1,3,4,2,0,6,7,0,0,1,0,0,1,0,1,0,0,0,6,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
69,84480,82675,6885,70837,311,2273,14,2355,1805,1658,352,23,93,15,139,191,234,138,379,13,1,9,12,39,20,133,27,30,1,16,1,0,1,6,2,4,10,1,8,8,10,8,0,0,0,0,13,5,0,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,84480,7059,77421,76134,4972,68396,193,2233,8,332,1287,1171,248,16,85,13,10,162,217,128,237,10,0,1,12,27,5,102,20,28,1,11,1,0,1,6,0,3,9,1,1,8,8,4,0,0,0,0,13,5,0,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
70,160664,156129,67162,60984,778,15281,64,11860,4535,4203,723,126,679,22,809,226,301,124,756,115,4,69,32,184,33,291,101,57,6,19,1,1,7,5,24,10,8,0,7,7,23,7,0,4,3,1,30,16,0,4,2,4,1,2,0,0,0,0,0,0,1,0,11,5,0,0,0,0,6,0,0,160664,25165,135499,132816,59590,56948,346,15147,37,748,2683,2465,470,49,648,18,127,188,284,111,297,105,1,5,31,126,5,191,67,45,6,5,1,1,0,2,20,4,6,0,2,7,19,3,0,0,2,1,22,12,0,2,2,3,0,2,0,0,0,0,0,0,1,0,5,5,0,0,0,0,0,0,0
71,98429,95882,20812,70414,358,1253,35,3010,2547,2296,534,59,182,8,199,292,270,140,536,5,0,23,4,27,17,235,106,55,0,17,3,0,4,3,3,1,7,0,13,7,7,8,0,0,1,0,12,4,2,2,0,0,0,0,1,0,0,0,1,0,2,0,4,4,0,0,0,0,0,0,0,98429,9157,89272,87601,18825,66958,199,1214,25,380,1671,1506,405,32,173,7,33,254,239,134,200,3,0,8,4,13,1,152,62,44,0,10,2,0,0,3,3,0,6,0,3,7,6,5,0,0,1,0,9,3,1,1,0,0,0,0,1,0,0,0,1,0,2,0,4,4,0,0,0,0,0,0,0
72,126230,120736,52711,5849,1573,33565,62,26976,5494,5080,710,508,770,34,1869,63,151,12,347,67,11,214,44,201,79,372,125,23,1,64,18,0,39,6,30,26,3,0,3,0,14,2,1,8,8,1,37,16,7,4,0,2,1,0,0,2,2,0,0,0,0,3,5,3,1,1,0,0,0,0,0,126230,57375,68855,67085,29464,3688,178,33288,33,434,1770,1643,316,88,723,24,51,42,143,12,52,53,1,3,40,94,1,109,49,12,0,3,7,0,0,5,15,1,1,0,0,0,11,2,1,2,0,0,17,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
73,86468,83795,5148,70679,675,633,35,6625,2673,2466,438,25,42,11,456,376,137,111,657,21,9,83,10,33,57,185,64,10,0,19,4,2,3,0,0,5,6,3,25,5,7,19,0,10,3,0,12,3,1,1,0,0,2,0,0,0,0,0,0,2,0,3,8,8,0,0,0,0,0,2,2,86468,17369,69099,67975,858,65930,287,604,16,280,1124,1032,224,12,27,4,13,299,123,100,177,12,8,9,9,13,2,82,43,5,0,3,1,0,0,0,0,0,6,3,7,3,7,2,0,1,1,0,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
75,183328,175374,26869,105452,1814,9134,177,31928,7954,7347,1010,105,178,7,2145,599,435,163,1495,172,9,284,33,498,214,564,181,40,6,101,4,2,15,0,15,22,16,2,25,7,62,25,1,15,22,3,32,9,0,9,0,10,0,0,1,1,0,1,0,0,1,0,10,9,0,1,0,0,0,1,1,183328,67131,116197,113289,6245,94685,715,8979,85,2580,2908,2667,371,35,128,5,46,415,391,131,420,161,4,59,25,408,68,219,75,28,4,7,3,1,0,0,6,1,13,2,7,6,44,14,0,5,2,1,18,7,0,3,0,8,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,1
76,43694,41958,29343,7204,210,2060,21,3120,1736,1592,277,74,547,15,344,81,31,4,109,4,0,17,7,42,40,130,68,17,0,5,5,1,3,10,9,2,4,0,0,1,2,1,0,1,0,1,14,8,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43694,9543,34151,33137,24791,6097,65,2018,16,150,1014,937,172,45,526,13,33,62,26,4,19,4,0,1,7,21,4,75,38,15,0,0,4,1,1,9,4,0,2,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,90744,87649,15454,65502,388,2368,45,3892,3095,2796,711,63,359,7,217,352,193,98,647,11,2,41,13,50,32,254,131,29,4,16,9,0,1,5,8,0,12,1,8,3,13,10,1,1,1,1,40,22,1,11,0,3,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,4,4,90744,10759,79985,77899,13017,61952,203,2338,24,365,2086,1913,562,43,343,7,21,306,179,93,309,11,1,0,12,16,10,150,80,22,4,6,8,0,0,3,3,0,7,0,1,2,9,3,1,0,0,1,22,17,1,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
78,66664,63672,49139,6940,221,3957,31,3384,2992,2744,607,165,1144,24,314,76,126,12,104,13,1,50,19,82,7,231,109,37,1,21,9,0,7,13,18,0,4,0,5,0,5,0,0,0,2,0,15,7,0,5,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,66664,10248,56416,54326,43996,6036,92,3891,18,293,2090,1955,457,95,1072,21,26,62,117,12,20,9,1,3,18,41,1,127,50,26,1,6,5,0,3,12,15,0,4,0,0,0,5,0,0,0,0,0,7,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
79,90263,87018,20375,54877,600,2443,88,8635,3245,2956,645,79,216,21,552,406,166,57,579,18,8,87,10,58,54,268,137,20,1,25,5,0,4,2,12,6,17,1,15,4,7,6,1,3,2,0,21,7,1,5,1,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90263,20014,70249,68615,14506,51142,210,2390,55,312,1634,1471,458,40,201,17,37,349,140,50,134,11,3,2,10,18,1,151,82,19,1,9,5,0,0,1,6,2,9,1,5,4,5,2,0,0,0,0,12,7,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
81,62722,60811,4581,50302,408,1096,20,4404,1911,1740,424,36,44,5,243,334,112,27,410,10,2,22,4,34,33,148,55,28,4,29,0,0,2,0,2,0,4,2,7,3,6,4,0,0,1,1,20,13,0,3,1,2,0,0,0,0,0,0,0,1,0,0,3,2,1,0,0,0,0,0,0,62722,10474,52248,51243,2128,47638,243,1068,12,154,1005,910,286,11,44,1,8,277,99,23,133,10,2,6,4,6,0,83,37,18,4,5,0,0,0,0,1,0,3,1,4,3,2,4,0,0,0,1,11,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
83,112634,106366,34183,28095,1522,4953,135,37478,6268,5892,820,141,215,37,2618,175,127,71,872,59,26,325,25,192,189,359,91,17,4,68,4,0,33,7,20,28,11,0,9,5,17,16,1,16,5,7,17,7,0,5,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,112634,73616,39018,37849,9564,22688,201,4776,31,589,1169,1071,235,34,170,14,55,115,103,52,129,32,0,10,19,92,11,88,27,11,2,3,2,0,0,7,5,0,9,0,1,5,8,3,0,4,0,1,10,5,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,48196,46319,33297,6470,158,4519,21,1854,1877,1735,327,104,710,14,180,101,49,16,112,6,1,23,15,64,13,137,59,28,3,11,5,0,4,5,7,0,6,0,2,2,3,2,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,48196,6078,42118,40735,30066,5935,79,4451,15,189,1383,1293,265,62,690,11,34,85,46,11,24,4,1,2,15,43,0,88,36,21,3,5,2,0,3,5,5,0,5,0,1,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,51421,48902,18769,23376,238,3393,11,3115,2519,2236,628,72,504,16,266,234,143,21,230,8,3,24,12,65,10,261,137,48,3,16,9,2,3,8,9,0,9,1,4,0,4,7,0,0,1,0,20,17,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,51421,8093,43328,41581,15904,21986,126,3341,8,216,1747,1534,504,43,480,14,22,197,133,17,56,7,3,1,12,45,0,194,112,36,3,5,7,0,1,8,5,0,6,1,1,0,2,6,0,0,1,0,17,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0
90,116836,113116,80364,9974,805,5544,68,16361,3720,3448,528,166,489,46,1298,111,44,17,368,36,0,132,30,123,60,243,107,15,1,37,5,3,10,10,14,10,1,1,9,1,4,3,4,3,5,0,24,4,0,4,5,0,0,1,0,1,2,5,2,0,0,0,5,5,0,0,0,0,0,0,0,116836,37920,78916,77711,64467,7294,122,5456,28,344,1205,1122,179,97,450,35,127,70,29,9,26,20,0,2,30,46,2,77,48,4,0,3,3,0,0,8,6,1,1,1,0,1,1,0,0,0,0,0,6,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
94,56247,54566,45462,2037,188,3293,36,3550,1681,1569,224,126,537,18,422,12,41,4,69,7,0,15,15,55,24,103,43,7,0,11,12,0,2,4,12,5,1,0,0,1,0,1,0,4,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,3,56247,9088,47159,46152,40844,1688,84,3255,26,255,1007,954,154,91,503,18,50,11,35,3,14,5,0,2,15,40,13,50,25,5,0,3,7,0,0,4,5,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
100,47913,46726,29895,12694,165,1347,17,2608,1187,1058,248,65,106,6,197,104,65,19,139,14,3,13,3,55,21,116,46,12,1,14,2,0,3,1,3,2,4,2,9,7,0,5,0,3,2,0,10,4,0,5,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,47913,7161,40752,40067,26793,11609,94,1320,14,237,685,623,170,50,92,5,22,77,56,19,71,10,0,3,3,41,4,53,14,4,1,3,2,0,0,1,3,0,3,2,4,7,0,5,0,2,2,0,6,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
101,67065,64391,19193,35263,533,1278,66,8058,2674,2485,371,37,102,9,654,262,135,64,505,35,4,74,3,135,95,178,74,9,2,35,1,0,7,3,4,3,12,0,5,2,7,8,0,3,2,1,9,6,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,2,0,0,0,0,0,0,0,67065,16941,50124,48859,13666,33054,215,1235,49,640,1265,1162,235,21,88,6,29,228,124,62,205,31,1,4,3,105,20,99,42,7,2,6,1,0,2,3,1,2,12,0,3,2,5,8,0,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
102,144215,133130,53920,14911,1824,31644,193,30638,11085,10365,878,250,727,43,2386,127,1448,175,1045,461,7,358,61,2075,324,665,159,29,3,53,11,0,23,7,37,5,35,6,8,30,135,35,5,45,22,17,50,16,2,6,4,3,3,0,5,0,1,0,2,0,8,0,4,0,1,0,1,0,2,1,1,144215,58785,85430,78849,28658,12026,962,31317,149,5737,6581,6141,319,60,653,37,114,103,1405,167,586,427,7,118,61,1904,180,411,55,16,2,12,4,0,1,7,18,0,31,6,4,29,129,28,5,40,11,13,26,10,0,0,3,1,0,0,1,0,1,0,2,0,8,0,3,0,0,0,1,0,2,0,0
103,105803,98584,12006,48235,1509,17704,166,18964,7219,6678,468,70,192,6,1448,301,806,148,1028,318,13,273,52,1368,187,500,125,41,2,54,2,0,18,1,24,13,20,6,15,15,89,33,2,19,7,14,36,7,3,12,2,7,2,0,0,0,0,1,0,0,1,1,5,4,1,0,0,0,0,0,0,105803,29343,76460,71857,2765,45835,879,17579,126,4673,4603,4246,262,17,182,5,48,259,785,145,672,305,9,114,52,1269,122,335,91,35,2,19,1,0,0,1,11,1,16,6,5,12,80,26,2,13,0,14,17,5,1,4,2,3,0,0,0,0,0,1,0,0,1,0,5,4,1,0,0,0,0,0,0
104,170190,164755,120143,4320,934,13384,87,25887,5435,5058,777,229,669,102,2229,35,78,21,334,68,16,169,22,208,101,352,144,22,3,56,13,0,19,8,25,5,3,0,8,2,22,11,0,4,7,0,21,12,0,4,1,2,0,0,0,0,0,0,0,2,0,0,4,2,2,0,0,0,0,0,0,170190,58947,111243,109604,93378,2368,222,13118,32,486,1639,1543,300,96,599,91,143,20,60,15,35,58,3,3,22,90,8,83,26,12,0,4,9,0,2,8,3,0,2,0,0,0,14,3,0,0,0,0,13,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,188582,180965,33672,107918,941,27881,157,10396,7617,7046,849,130,471,9,752,480,1041,184,1063,330,5,114,71,1436,111,513,169,81,1,57,7,0,1,2,24,2,14,2,5,5,89,9,2,8,22,13,54,23,1,6,4,8,2,1,5,0,1,1,0,0,1,1,3,3,0,0,0,0,0,1,1,188582,22337,166245,160557,24611,104029,670,27688,125,3434,5688,5306,587,64,419,8,87,418,999,178,658,319,3,47,71,1360,88,352,112,65,1,20,1,0,0,2,20,0,9,2,0,5,83,9,2,7,3,11,27,16,1,0,2,5,0,1,0,0,0,1,0,0,1,0,3,3,0,0,0,0,0,0,0
106,122441,110973,43894,22601,1653,22456,182,20187,11468,10708,454,114,352,10,1197,177,2700,308,1437,423,31,247,124,2777,357,702,82,48,5,37,3,0,8,6,30,9,29,4,6,30,231,54,8,45,36,31,55,29,0,4,0,1,0,0,0,2,0,2,7,3,5,2,3,3,0,0,0,0,0,0,0,122441,28309,94132,84898,31739,20990,1156,22203,160,8650,9234,8622,224,51,320,9,88,150,2647,307,1168,402,27,145,124,2631,329,563,34,37,4,16,3,0,0,5,23,0,28,4,2,30,220,53,8,37,28,31,46,26,0,1,0,0,0,0,0,2,0,2,7,3,5,0,3,3,0,0,0,0,0,0,0
107,151107,144396,65452,20719,643,47326,130,10126,6711,6269,777,134,1788,77,1060,201,454,46,447,232,2,63,112,784,92,390,142,69,7,31,9,3,7,10,23,8,7,1,5,0,47,4,0,9,4,4,49,29,0,10,0,5,0,0,0,0,1,0,4,0,0,0,3,3,0,0,0,0,0,0,0,151107,25621,125486,120925,52871,19107,352,47039,91,1465,4561,4297,450,65,1705,74,137,173,419,46,183,220,2,15,109,641,58,236,77,55,6,8,7,0,0,6,14,2,5,1,2,0,42,3,0,6,0,2,27,18,0,1,0,4,0,0,0,0,1,0,3,0,0,0,1,1,0,0,0,0,0,0,0
108,113200,107851,50190,2937,940,36453,57,17274,5349,5107,472,164,923,35,2023,31,104,13,173,354,1,136,98,514,66,206,57,19,2,25,10,0,21,11,30,7,1,0,0,1,6,4,1,7,3,1,35,22,1,6,0,3,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,113200,39207,73993,71623,32470,2132,187,36239,36,559,2370,2257,223,57,837,24,127,20,99,8,33,329,0,2,94,391,13,85,22,18,0,6,3,0,0,9,10,2,0,0,0,1,6,1,1,6,0,0,27,18,1,4,0,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
109,247354,240457,95236,6596,555,122496,106,15468,6897,6559,513,143,2131,35,1780,77,189,16,246,305,0,110,152,781,81,279,82,36,1,44,7,0,23,12,30,8,4,3,3,1,9,7,2,6,0,1,53,25,0,8,0,11,0,0,0,0,4,0,0,0,5,0,4,4,0,0,0,0,0,2,2,247354,41164,206190,202136,73668,5512,215,122012,82,647,4054,3900,273,61,2030,31,120,58,181,10,64,298,0,2,147,619,6,120,38,25,0,1,6,0,0,11,18,0,4,2,0,1,6,4,2,1,0,1,30,20,0,1,0,3,0,0,0,0,1,0,0,0,5,0,4,4,0,0,0,0,0,0,0
110,172634,163788,50935,11427,1700,57640,75,42011,8846,8477,623,156,812,37,4303,111,158,22,456,406,6,330,145,757,155,326,55,17,4,70,8,0,47,5,17,21,3,0,5,0,17,18,4,25,8,2,37,17,0,13,0,2,2,0,0,0,3,0,0,0,0,0,6,3,3,0,0,0,0,0,0,172634,90314,82320,79786,12352,9091,299,57253,39,752,2534,2437,111,27,718,21,113,88,146,17,73,386,1,8,140,575,13,75,8,11,2,1,6,0,0,4,4,1,3,0,0,0,13,8,0,11,1,2,18,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0
111,116431,114018,61915,2633,101,45921,18,3430,2413,2270,271,84,819,18,576,16,88,4,41,70,2,16,63,189,13,131,32,35,0,13,4,0,0,14,15,0,1,0,1,3,10,1,0,2,0,0,11,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,116431,11676,104755,103197,54690,2400,62,45763,14,268,1558,1485,157,61,761,17,104,13,79,4,9,68,2,0,63,145,2,70,13,21,0,0,1,0,0,12,7,0,1,0,0,3,9,1,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
112,112070,108553,71381,3240,223,29356,46,4307,3517,3271,385,95,1209,70,643,64,102,4,96,102,0,20,81,377,23,215,77,29,2,33,6,0,5,12,30,4,0,0,4,0,7,1,1,0,2,2,24,14,0,4,1,4,1,0,0,0,0,0,0,0,0,0,7,5,2,0,0,0,0,0,0,112070,15128,96942,94549,61927,2792,104,29200,29,497,2393,2260,218,36,1126,69,134,42,95,4,29,98,0,3,79,324,3,112,35,27,2,4,6,0,0,12,14,3,0,0,1,0,4,1,1,0,0,2,17,11,0,3,1,2,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0
113,120132,116234,3036,104953,696,2615,55,4879,3898,3477,570,39,23,2,188,637,513,214,823,40,13,67,22,243,83,387,166,64,1,24,1,0,3,0,4,5,18,0,19,7,45,12,0,5,3,10,25,13,0,8,0,0,0,0,0,0,0,0,0,0,2,2,9,8,1,0,0,0,0,0,0,120132,9783,110349,107371,1057,101721,511,2577,42,1463,2978,2660,434,27,21,2,9,578,498,207,493,34,13,35,21,227,61,294,127,57,1,8,1,0,0,0,2,0,17,0,12,6,38,11,0,2,3,9,15,6,0,5,0,0,0,0,0,0,0,0,0,0,2,2,9,8,1,0,0,0,0,0,0
114,202766,195116,116720,23533,1176,29341,168,24178,7650,7157,1118,317,1396,81,2314,204,199,40,509,221,3,142,78,461,74,430,158,40,4,65,12,3,26,19,28,10,7,4,6,3,18,3,4,9,9,2,60,34,0,9,1,12,0,2,0,0,0,1,0,1,0,0,3,3,0,0,0,0,0,0,0,202766,54441,148325,144175,91531,21019,354,28947,133,2191,4150,3911,727,173,1286,74,448,151,177,35,184,204,3,18,74,343,14,218,87,22,4,16,9,2,0,18,15,6,7,4,2,3,10,1,2,5,3,2,19,12,0,2,0,3,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
115,171576,162076,66142,13700,1914,27250,85,52985,9500,9029,818,243,671,35,4821,113,166,77,515,260,17,438,66,660,129,421,113,33,1,74,16,0,36,7,48,29,9,1,4,0,15,11,1,7,13,3,44,25,5,3,0,8,0,0,0,0,1,1,1,0,0,0,6,2,4,0,0,0,0,0,0,171576,110108,61468,59259,20334,10683,243,26996,30,973,2209,2068,194,25,562,23,133,96,149,60,75,229,0,6,65,442,9,113,33,27,1,7,5,0,0,3,7,1,6,1,2,0,12,1,1,3,0,3,23,19,0,0,0,2,0,0,0,0,0,1,1,0,0,0,5,1,4,0,0,0,0,0,0
120,113008,108593,58854,28373,686,8922,59,11699,4415,4030,1043,183,479,34,936,311,162,23,522,53,4,89,18,135,38,343,179,23,3,35,7,3,6,5,22,11,11,1,5,7,13,2,0,1,8,1,35,24,0,3,0,5,2,1,0,0,0,0,0,0,0,0,6,4,0,0,0,0,2,1,1,113008,29914,83094,80887,46061,25436,264,8756,37,333,2207,1993,739,105,415,27,66,238,142,18,91,47,2,6,18,79,0,190,117,15,1,6,6,3,1,4,8,0,11,0,2,7,9,0,0,0,0,0,20,15,0,1,0,2,2,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0
121,118708,114773,73769,16688,557,13217,78,10464,3935,3643,789,136,547,46,973,149,127,20,328,106,3,40,25,318,36,255,120,23,6,30,4,4,9,4,28,5,5,2,7,1,5,1,1,0,0,0,37,15,5,8,0,4,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,118708,27252,91456,89367,60934,14798,199,13050,43,343,2089,1949,570,93,479,39,97,115,113,18,56,93,1,2,24,242,7,121,62,15,6,5,2,4,2,4,9,0,5,2,1,1,2,0,1,0,0,0,19,10,3,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
122,138982,136452,119790,3397,330,8474,43,4418,2530,2358,469,166,658,29,649,52,52,9,85,32,0,18,23,99,17,154,52,8,0,17,17,0,3,10,29,5,4,1,0,1,4,0,0,3,0,0,17,10,1,3,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,138982,15903,123079,121540,109879,2863,168,8370,32,228,1539,1434,361,135,583,25,89,42,39,9,19,29,0,5,22,75,1,96,32,5,0,7,16,0,0,10,15,0,4,1,0,1,4,0,0,1,0,0,8,4,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
123,98032,96794,89264,1399,122,4551,33,1425,1238,1170,268,87,332,25,328,11,7,1,18,8,5,4,4,68,4,67,29,12,1,5,1,0,2,1,12,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98032,7982,90050,89245,83295,1216,64,4521,25,124,805,768,218,70,319,23,57,8,6,0,4,8,5,1,3,46,0,37,15,7,1,3,1,0,2,1,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
